FCODE_DESC,red,blue,green,alpha
Expressway,0.7,0.7,0.7,1.0
Expressway Ramp,0.7,0.7,0.7,1.0
Major Arterial,0.6,0.6,0.6,1.0
Major Arterial Ramp,0.6,0.6,0.6,1.0
Collector,0.45,0.45,0.45,1.0
Collector Ramp,0.45,0.45,0.45,1.0
Local,0.45,0.45,0.45,1.0
Other,0.45,0.45,0.45,1.0
Minor Arterial,0.45,0.45,0.45,1.0
River,0.7,0.7,0.7,1.0
Major Railway,0.7,0.7,0.7,1.0
